time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.03 22:49:00,1.35898,1.35912,1.35897,1.35907,33,8,0.00000,1.35907,0.00000
2022.02.03 22:48:00,1.35896,1.35900,1.35888,1.35898,51,8,0.00000,0.00000,0.00000
2022.02.03 22:47:00,1.35906,1.35912,1.35894,1.35896,63,8,0.00000,0.00000,1.35896
2022.02.03 22:46:00,1.35920,1.35920,1.35906,1.35906,48,8,0.00000,0.00000,0.00000
2022.02.03 22:45:00,1.35948,1.35948,1.35919,1.35920,43,8,0.00000,0.00000,0.00000
2022.02.03 22:44:00,1.35939,1.35951,1.35935,1.35949,38,8,0.00000,1.35949,0.00000
2022.02.03 22:43:00,1.35946,1.35950,1.35939,1.35939,25,8,0.00000,0.00000,0.00000
2022.02.03 22:42:00,1.35942,1.35948,1.35941,1.35945,11,8,0.00000,0.00000,0.00000
2022.02.03 22:41:00,1.35922,1.35942,1.35919,1.35941,36,8,0.00000,0.00000,0.00000
2022.02.03 22:40:00,1.35928,1.35928,1.35917,1.35926,62,8,0.00000,0.00000,0.00000
2022.02.03 22:39:00,1.35911,1.35929,1.35911,1.35929,34,8,0.00000,0.00000,0.00000
2022.02.03 22:38:00,1.35919,1.35920,1.35910,1.35911,34,8,0.00000,0.00000,0.00000
2022.02.03 22:37:00,1.35911,1.35920,1.35910,1.35919,28,8,0.00000,0.00000,0.00000
2022.02.03 22:36:00,1.35907,1.35914,1.35899,1.35911,44,8,0.00000,0.00000,0.00000
2022.02.03 22:35:00,1.35888,1.35907,1.35886,1.35907,52,8,0.00000,0.00000,0.00000
2022.02.03 22:34:00,1.35896,1.35898,1.35884,1.35886,51,8,0.00000,0.00000,1.35886
2022.02.03 22:33:00,1.35906,1.35906,1.35893,1.35896,36,8,0.00000,0.00000,0.00000
2022.02.03 22:32:00,1.35934,1.35937,1.35904,1.35906,44,8,0.00000,0.00000,0.00000
2022.02.03 22:31:00,1.35947,1.35947,1.35934,1.35934,31,10,0.00000,0.00000,0.00000
2022.02.03 22:30:00,1.35958,1.35958,1.35945,1.35947,41,8,0.00000,0.00000,0.00000
2022.02.03 22:29:00,1.35944,1.35959,1.35944,1.35958,36,9,0.00000,1.35958,0.00000
2022.02.03 22:28:00,1.35947,1.35947,1.35943,1.35944,18,9,0.00000,0.00000,0.00000
2022.02.03 22:27:00,1.35944,1.35947,1.35940,1.35947,22,8,0.00000,0.00000,0.00000
2022.02.03 22:26:00,1.35945,1.35946,1.35943,1.35944,18,9,0.00000,0.00000,0.00000
2022.02.03 22:25:00,1.35944,1.35955,1.35943,1.35945,38,8,0.00000,0.00000,0.00000
2022.02.03 22:24:00,1.35948,1.35948,1.35943,1.35944,22,10,0.00000,0.00000,1.35944
2022.02.03 22:23:00,1.35946,1.35951,1.35943,1.35948,36,9,0.00000,0.00000,0.00000
2022.02.03 22:22:00,1.35950,1.35957,1.35946,1.35946,40,9,0.00000,0.00000,0.00000
2022.02.03 22:21:00,1.35956,1.35958,1.35952,1.35954,32,9,0.00000,0.00000,0.00000
2022.02.03 22:20:00,1.35947,1.35961,1.35944,1.35956,49,9,0.00000,1.35956,0.00000
2022.02.03 22:19:00,1.35944,1.35949,1.35943,1.35948,49,8,0.00000,0.00000,0.00000
2022.02.03 22:18:00,1.35954,1.35955,1.35940,1.35944,65,10,0.00000,0.00000,0.00000
2022.02.03 22:17:00,1.35944,1.35957,1.35944,1.35954,70,9,0.00000,0.00000,0.00000
2022.02.03 22:16:00,1.35935,1.35946,1.35932,1.35944,77,9,0.00000,0.00000,0.00000
2022.02.03 22:15:00,1.35925,1.35940,1.35925,1.35935,81,8,0.00000,0.00000,0.00000
2022.02.03 22:14:00,1.35914,1.35927,1.35914,1.35925,20,8,0.00000,0.00000,0.00000
2022.02.03 22:13:00,1.35916,1.35919,1.35913,1.35914,40,9,0.00000,0.00000,1.35914
2022.02.03 22:12:00,1.35919,1.35920,1.35909,1.35916,44,8,0.00000,0.00000,0.00000
2022.02.03 22:11:00,1.35924,1.35929,1.35914,1.35919,68,8,0.00000,0.00000,0.00000
2022.02.03 22:10:00,1.35935,1.35938,1.35916,1.35923,60,8,0.00000,0.00000,0.00000
2022.02.03 22:09:00,1.35938,1.35939,1.35933,1.35934,41,8,0.00000,0.00000,0.00000
